AR100090;4;24;Como bola de nieve;AR.53 COMO BOLA DE NIEVE;;;13;;AUT,TRA;6254,5546;6254;14;;;25;;;;;;;9788434891012;9788434891012;1;17;18;224;21,00;13,00;1,20;38,50;38,50;0,00;;;;;PGR;;
AR100321;4;24;El secreto de Lena;BVA.113 EL SECRETO DE LENA;;;13;;AUT,ILU,TRA;2627,2450,2606;2627;7;;;42;;;;4;;;9788434886728;9788434886728;1;17;38;112;19,00;12,00;1,00;32,00;32,00;0,00;;;;;PGR;;
AR100322;4;24;Las aventuras del Capitán Calzoncillos;BVACC. 1 AVENTURAS DEL CAPITAN CALZONCIL;;;13;;AUT,ILU,PER,TRA;2204,2204,10375,4819;2204;7;;;42;15;;1;6;;;9788434887152;9788434887152;1;17;40;128;19,00;12,00;0,80;32,00;32,00;0,00;;;;;PGR;;
AR100323;4;24;El Capitán Calzoncillos y el ataque de los retretes parlantes;BVACC. 2 EL CAP.CALZ.Y EL ATAQUE DE LOS;;;13;;AUT,ILU,PER,TRA;2204,2204,10375,4819;2204;7;;;42;15;;2;6;;;9788434889002;9788434889002;1;17;32;144;19,00;12,00;1,20;32,00;32,00;0,00;;;;;PGR;;
AR100324;4;24;El Capitán Calzoncillos y la invasión de los pérfidos tiparracos del espacio;BVACC. 3 EL CAP.CALZ.Y LA INVASION DE LO;;;13;;AUT,ILU,TRA;2204,2204,4819;2204;7;;;42;15;;3;5;;;9788434889422;9788434889422;1;17;30;144;19,00;12,00;0,90;32,00;32,00;0,00;;;;;PGR;;
AR100738;4;24;Molly Moon y el increíble libro del hipnotismo;MM.Y EL INCREIBLE LIBRO DEL HIPNOTISMO;;;13;;AUT,ILU,TRA;6391,6392,5546;6391;8;;;361;;;;4;;;9788434890763;9788434890763;2;17;12;354;22,00;14,00;2,80;64,25;64,25;0,00;;;;;PGR;;
AR101106;4;6;El español de España y el español de América.;EL ESP.DE ESPAÑA Y EL ESP.DE AMERICA 03;Vocabulario comparado.;;13;;AUT;7197;7197;16;;;;;;;;;;9788434893528;9788434893528;3;10;40;128;21,40;14,50;0,90;75,00;75,00;;;;;;ELE;;
AR101283;4;6;Dificultades del español para brasileños.;DIF.DEL ESPAÑOL PARA BRASILEÑO 03;;;13;21;AUT,AUT;7198,7199;7198,7199;13;;;;;;;;;;9788434893535;9788434893535;1;10;70;96;21,00;14,00;0,60;75,00;75,00;;;;;;ELE;;
AR101285;4;6;Dificultades del español para hablantes de italiano.;DIF.DEL ESPAÑOL HABLANTES DE ITALIANO 03;;;20;;AUT,AUT;7227,7228;7227,7228;13;;;;;;;;;;9788434893542;9788434893542;3;10;52;98;21,50;14,50;0,80;75,00;75,00;;;;;;ELE;;
AR101286;4;6;Dificultades del español para hablantes de alemán.;DIF.DEL ESPAÑOL HABLANTES DE ALEMAN 03;;;17;;AUT;7225;7225;13;;;;;;;;;;9788434893504;9788434893504;3;10;50;96;21,40;14,50;0,70;75,00;75,00;;;;;;ELE;;
